指标,数值,单位,时点,周期归属,来源
中国GDP同比,4.3,%,2026Q2,中周期,国家统计局 2026-07-16
中国GDP环比,0.9,%,2026Q2,中周期,国家统计局 2026-07-16
中国上半年GDP同比,4.7,%,2026H1,中周期,国家统计局 2026-07-15
中国CPI同比,0.5,%,2026-07,库存,国家统计局 2026-08-09
中国核心CPI同比,0.9,%,2026-07,库存,国家统计局 2026-08-09
中国PPI同比,3.5,%,2026-07,库存,国家统计局 2026-08-09（3月由负转正，结束41个月负增长）
中国PPI环比,-0.7,%,2026-07,库存,国家统计局 2026-08-09
中国制造业PMI,49.8,,2026-08,库存,国家统计局 2026-08-31（环比+0.6）
中国综合PMI产出指数,49.5,,2026-08,库存,国家统计局 2026-08-31
中国工业企业利润累计同比,17.6,%,2026-01~07,库存,国家统计局 2026-08-27
中国产成品存货周转天数,21.3,天,2026-07,库存,国家统计局 2026-08-27（同比+0.6天）
中国工业产能利用率,73.0,%,2026Q2,中周期,国家统计局 2026-07-15（六年新低）
中国固定资产投资累计同比,-6.7,%,2026-01~07,中周期,国家统计局 2026-08-17（扣除房地产为-3.7%）
中国工业出口交货值同比,10.4,%,2026-07,中周期,国家统计局 2026-08-17
中国挖掘机销量同比,26.4,%,2026H1,中周期,中国工程机械工业协会（内销+20.4%，出口+33.5%）
中国房地产开发投资累计同比,-19.2,%,2026-01~07,房地产,国家统计局 2026-08-17
中国新建商品房销售面积同比,-11.8,%,2026-01~07,房地产,国家统计局 2026-08-17
中国新建商品房销售额同比,-13.1,%,2026-01~07,房地产,国家统计局 2026-08-17
中国房屋新开工面积同比,-24.0,%,2026-01~07,房地产,国家统计局 2026-08-17
一线城市新房价格同比,-1.1,%,2026-07,房地产,国家统计局 2026-08-17（降幅连续收窄）
二线城市新房价格同比,-2.8,%,2026-07,房地产,国家统计局 2026-08-17
三线城市新房价格同比,-4.2,%,2026-07,房地产,国家统计局 2026-08-17
一线城市二手房价格环比,0.2,%,2026-07,房地产,国家统计局 2026-08-17
70城新房价格环比上涨或持平城市数,23.0,个,2026-07,房地产,国家统计局 2026-08-17
中国M2同比,7.7,%,2026-07,中周期,中国人民银行 2026-08-14
中国社融存量同比,7.4,%,2026-07,中周期,中国人民银行 2026-08-14
中国实体贷款余额同比,5.2,%,2026-07,中周期,中国人民银行 2026-08-14
美国实际GDP年化环比,1.5,%,2026Q2,中周期,BEA 二次估计 2026-08-26（Q1为2.1%）
美国设备投资年化环比,15.2,%,2026Q2,中周期,BEA（Q1为15.8%）
美国非住宅固定投资年化环比,8.4,%,2026Q2,中周期,BEA（Q1为10.6%）
美国CPI同比,3.4,%,2026-07,康波,BLS 2026-08-12
美国核心CPI同比,2.5,%,2026-07,康波,BLS 2026-08-12
美国失业率,4.1,%,2026-08,中周期,BLS 2026-09-04（非农+16.2万）
美国ISM制造业PMI,54.6,,2026-08,库存,ISM（连续8个月扩张；7月55.6）
美国ISM新订单,53.7,,2026-08,库存,ISM
美国ISM物价支付,71.1,,2026-08,库存,ISM
联邦基金利率上限,3.75,%,2026-06,康波,FOMC 6月维持3.50-3.75%，点阵图9人预期年内加息
美联储点阵图2026末中位数,3.8,%,2026-06,康波,FOMC SEP 2026-06-17
美联储PCE通胀预测2026,3.6,%,2026-06,康波,FOMC SEP 2026-06-17
美国10年期国债收益率,4.78,%,2026-09-04,康波,2023年11月以来最高
美国30年期房贷利率,6.69,%,2026-08-06,房地产,Freddie Mac（年内最高）
美国成屋销售年化,4.05,百万套,2026-07,房地产,NAR（环比-1.7%，中位价43.41万美元创新高）
美国Case-Shiller20城房价同比,2.1,%,2026-06,房地产,S&P Cotality
美国五大云厂商2026资本开支,690.0,十亿美元,2026E,康波,Futurum 等（区间660-800，约为2025年两倍）
全球综合PMI产出,53.5,,2026-08,库存,S&P Global/JPM（27个月新高）
欧元区制造业PMI,52.7,,2026-08,库存,S&P Global（2022年5月以来最高）
CRB商品指数同比,36.1,%,2026-09,康波,TR/CC CRB（6月最高495）
铜价,14403.0,美元/吨,2026-09-03,康波,历史新高区域
布伦特原油,95.2,美元/桶,2026-09-04,康波,同比+45%；霍尔木兹海峡冲突
黄金,4471.0,美元/盎司,2026-09-04,康波,1月28日高点5589，回撤约20%
标普500,7708.0,点,2026-09-04,中周期,同比+18.9%，距历史高点2%以内
上证综指,3942.0,点,2026-09-03,中周期,同比+4.7%
