指标,数值,单位,时点,周期归属,来源
实际GDP年化环比,1.5,%,2026Q2,中周期,BEA 二次估计 2026-08-26；Q1 为 2.1%
实际消费年化环比,3.4,%,2026Q2,中周期,BEA
设备投资年化环比,15.2,%,2026Q2,中周期,BEA；Q1 为 15.8%
知识产权投资年化环比,8.8,%,2026Q2,中周期,BEA；Q1 为 13.8%
建筑投资年化环比,-5.0,%,2026Q2,中周期,BEA；连续第 10 个季度收缩
非住宅固定投资年化环比,8.4,%,2026Q2,中周期,BEA；Q1 为 10.6%
税后企业利润同比,28.2,%,2026Q2,中周期,BEA；税后利润 4.30 万亿美元（年化）
失业率,4.1,%,2026-08,中周期,BLS 2026-09-04
非农新增就业,162.0,千人,2026-08,库存,BLS；预期 5.3 万，3 月以来最强
工业产出同比,1.1,%,2026-07,中周期,美联储 G.17
产能利用率,76.3,%,2026-07,中周期,美联储 G.17；低于 1972-2025 均值 3.1 个点
制造业产能利用率,76.0,%,2026-07,中周期,美联储 G.17
实际个人消费环比,0.0,%,2026-07,库存,BEA；名义 +0.2%，实际基本持平
个人储蓄率,3.0,%,2026-07,中周期,BEA
CPI同比,3.4,%,2026-07,康波,BLS；6 月一度 4.2%
核心CPI同比,2.5,%,2026-07,康波,BLS
PCE同比,3.7,%,2026-07,康波,BEA
核心PCE同比,3.3,%,2026-07,康波,BEA
联邦基金利率上限,3.75,%,2026-06,康波,FOMC 6 月 9:3 维持；点阵图 9 人预期年内加息
点阵图2026末中位数,3.8,%,2026-06,康波,FOMC SEP
美联储PCE预测2026,3.6,%,2026-06,康波,FOMC SEP；2027 年 2.3%
2年期国债收益率,4.35,%,2026-09-03,康波,
10年期国债收益率,4.78,%,2026-09-04,康波,2023 年 11 月以来最高；2022 中-2024 末曲线倒挂
10年-2年利差,0.43,百分点,2026-09-03,中周期,正但远低于健康扩张期的 1-1.5
美元指数,99.0,,2026-09-03,康波,
新屋开工年化,1239.0,千套,2026-07,房地产,Census；环比 -12.4%，同比 -13.5%
营建许可年化,1443.0,千套,2026-07,房地产,Census；同比 +3.1%
成屋销售年化,4.05,百万套,2026-07,房地产,NAR；环比 -1.7%，1995 年以来最低量级
成屋中位价,434.1,千美元,2026-07,房地产,NAR；创新高
Case-Shiller20城房价同比,2.1,%,2026-06,房地产,S&P Cotality
30年期房贷利率,6.69,%,2026-08-06,房地产,Freddie Mac；年内最高
ISM制造业PMI,54.6,,2026-08,库存,ISM；2025-12 低点 47.9，2026-01 起连续 8 个月扩张
ISM新订单,53.7,,2026-08,库存,ISM；环比 -3.0
ISM物价支付,71.1,,2026-08,库存,ISM；与 7 月持平
库存销售比,1.3,,2026-06,库存,Census；2021 年以来最低（去年同期 1.39）
标普500,7708.0,点,2026-09-04,中周期,同比 +18.9%，距历史高点 2% 以内
席勒CAPE,40.8,倍,2026-09-01,中周期,1871 年以来第二次超过 40，上一次 1999-12
前十大权重占比,35.0,%,2026,中周期,互联网泡沫顶点为 25%
联邦赤字占GDP,5.8,%,FY2026,康波,CBO 2026-02；1.9 万亿美元
公众持有联邦债务占GDP,101.0,%,FY2026,康波,CBO；2036 年升至 120%
净利息支出占GDP,3.3,%,FY2026,康波,CBO；1.0 万亿美元，超过国防开支
五大云厂商资本开支,690.0,十亿美元,2026E,康波,区间 660-800，约为 2025 年两倍
杠杆贷款利差,0.0,定性,2025末,中周期,FTI：BB/B 级利差处于本世纪最低附近
银行信贷标准,0.0,定性,2026Q2,中周期,美联储 SLOOS 7 月：工商业贷款标准基本不变，利差收窄
布伦特原油,95.2,美元/桶,2026-09-04,康波,同比 +45%；霍尔木兹海峡冲突
铜价,14403.0,美元/吨,2026-09-03,康波,历史新高区域
黄金,4471.0,美元/盎司,2026-09-04,康波,1 月高点 5589，回撤约 20%
